height,weight,bark_days,ear_head_ratio,class
39.69780953543311,31.740979601799808,9.0,0.19311960362649203,2
36.71064093702527,21.14042729135018,26.0,0.16352708206179584,0
34.726930314283074,19.81795354285538,24.0,0.3861134331320688,0
32.32488399191727,30.812209979793167,18.0,0.4632416040581159,1
37.691499387967475,21.79433292531165,28.0,0.11819001145537356,0
36.68885203211165,21.1259013547411,26.0,0.16505181896893584,0
30.84407824493745,27.110195612343627,16.0,0.39905053073241675,1
38.616784329728816,30.81438656833899,8.0,0.16926919887319225,2
44.65553165386437,35.99045570331232,12.0,0.2816531771933307,2
35.20909522298645,20.1393968153243,24.0,0.32228414719868625,0
44.617686782539565,35.95801724217677,12.0,0.28129442219290934,2
25.683624387347773,14.209060968369432,9.0,0.20463698495866023,1
27.92642479551361,19.81606198878403,12.0,0.24497522820463213,1
39.40001445295724,31.485726673963345,9.0,0.18638900372842315,2
32.944586453963595,32.36146613490898,19.0,0.47885874327434774,1
29.866909018487547,24.667272546218868,15.0,0.3420415312341697,1
34.44918026173329,27.2421545100571,5.0,0.11127509933018542,2
35.406151153305004,20.27076743553667,25.0,0.29664247680857203,0
37.45121380162705,21.63414253441803,27.0,0.12555723137333336,0
29.992190323732014,24.980475809330038,15.0,0.34953265967871716,1
30.936674273451754,27.34168568362938,16.0,0.4040684727293874,1
33.612249619471754,19.074833079647835,22.0,0.5112802281101385,0
28.032481414113136,20.08120353528284,12.0,0.2487850818034674,1
34.48774298857647,19.65849532571765,23.0,0.4168190783531541,0
41.19027626948116,33.02023680241242,10.0,0.2266202914546536,2
32.86119776825074,18.574131845500496,21.0,0.5615233991853954,0
33.60616678191775,19.070777854611837,22.0,0.5118065067468883,0
29.3693612378609,23.423403094652254,14.0,0.3128778756592747,1
33.63606035501056,19.090706903340372,22.0,0.5092011415992872,0
39.58925276112693,31.647930938108797,9.0,0.1906577669496055,2
36.1576594431174,20.77177296207827,26.0,0.21006222707118805,0
32.427292141791376,18.284861427860918,20.0,0.5784200440247119,0
33.2693448915897,18.846229927726462,21.0,0.5378513882572276,0
35.04564026734339,27.753405943437187,6.0,0.1156912762684532,2
33.36271233216745,18.90847488811163,22.0,0.5312395279270034,0
34.593118543854715,19.728745695903143,24.0,0.4034511376666198,0
27.7480328904168,19.370082226041994,12.0,0.2390258720391896,1
34.29321488794791,19.528809925298606,23.0,0.440623748533965,0
34.457620076989386,19.63841338465959,23.0,0.42058475793824873,0
34.4931361836114,19.662090789074263,23.0,0.4161420984702832,0
30.81191394565253,27.029784864131322,16.0,0.39728386769010304,1
35.36311159110618,20.24207439407079,25.0,0.30218062969607784,0
29.434463722081034,23.58615930520259,14.0,0.31660318690684464,1
37.63148459878446,29.969843941815252,7.0,0.14985844582977498,2
29.302452587575075,23.25613146893769,14.0,0.3090888807137882,1
31.698989542417145,29.247473856042863,17.0,0.4406590942262119,1
34.4932505959637,36.23312648990925,21.0,0.4963004023989941,1
39.08774601905654,31.218068016334175,8.0,0.17943670592369096,2
30.924316906152175,27.310792265380442,16.0,0.40340484576771907,1
33.61568630132639,19.077124200884263,22.0,0.5109820165651242,0
35.01179227311612,20.007861515410745,24.0,0.3484318707099561,0
34.03384300714393,19.355895338095955,23.0,0.4701231081198369,0
28.934606254418288,22.33651563604572,14.0,0.2891365146869525,1
28.217803725932665,20.544509314831664,13.0,0.25593147864327637,1
40.993323505618065,32.85142014767263,10.0,0.22234414924687046,2
33.95214180224528,19.30142786816352,23.0,0.47879513379245986,0
37.80596073135087,21.870640487567247,28.0,0.1153487321904505,0
35.71418512939448,20.47612341959632,25.0,0.25849661329182155,0
34.15779677676781,19.438531184511874,23.0,0.4563805041729591,0
37.05156730724708,21.36771153816472,27.0,0.14285059671975048,0
43.34815548410978,34.869847557808384,11.0,0.26612388155754585,2
35.50499054560784,20.33666036373856,25.0,0.2840932364916658,0
30.05855037539254,25.146375938481345,15.0,0.35350323263469985,1
33.891773381327326,19.26118225421822,22.0,0.48499558135614845,0
35.51131129382341,20.34087419588227,25.0,0.2832995728416371,0
31.956139778560466,29.890349446401167,18.0,0.45079403615366176,1
35.135905973866635,20.090603982577758,24.0,0.3319518168279398,0
32.68131889179401,18.454212594529338,20.0,0.569461020072568,0
36.21339954071027,20.80893302714018,26.0,0.2046384175805182,0
37.801648514034845,21.86776567602323,28.0,0.11544868492959431,0
38.39897779488818,30.6276952527613,8.0,0.16473584728084872,2
40.02386670849742,32.02045717871208,9.0,0.20054407801849583,2
40.28204295038924,32.24175110033363,9.0,0.20642269705306313,2
41.29209547891845,33.107510410501526,10.0,0.22879990864780314,2
42.91199799137777,34.4959982783238,11.0,0.2594590731559107,2
30.615772301195364,26.53943075298841,16.0,0.38627465533024313,1
39.09973237251765,31.228342033586554,8.0,0.1797009468794747,2
30.20406782621714,25.510169565542856,15.0,0.36219053648303196,1
33.76186527791682,26.65302738107156,5.0,0.10746963774984289,2
30.889228268838927,27.223070672097315,16.0,0.401510205321757,1
41.845164572745006,33.581569633781434,10.0,0.24019382629182398,2
28.78252384459839,21.956309611495982,13.0,0.2814047095321688,1
